,Clue,Answer,first_letter,num_letters,prompt,gpt_baseline_clue
0,Not up to the job,UNFIT,U,5,"Givens this clue: ""Not up to the job"",   the answer has 5 letters, and it starts with the letter 'U'.   Let's think step by step, when you see the clue ""Not up to the job"", think of answer to the clue.   Without supplying an answer to the clue, produce a new clue to the same answer. supply the new clue like so:   Another clue is: <your new clue here>.","Another clue is: ""Insufficient or inadequate in ability"""
1,"""Butt out!,"" in brief",MYOB,M,4,"Givens this clue: """"Butt out!,"" in brief"",   the answer has 4 letters, and it starts with the letter 'M'.   Let's think step by step, when you see the clue """"Butt out!,"" in brief"", think of answer to the clue.   Without supplying an answer to the clue, produce a new clue to the same answer. supply the new clue like so:   Another clue is: <your new clue here>.","Another clue is: ""Intervene no more, shortly"""
2,Up to the job,ABLE,A,4,"Givens this clue: ""Up to the job"",   the answer has 4 letters, and it starts with the letter 'A'.   Let's think step by step, when you see the clue ""Up to the job"", think of answer to the clue.   Without supplying an answer to the clue, produce a new clue to the same answer. supply the new clue like so:   Another clue is: <your new clue here>.","Another clue is: ""Sufficiently skilled or qualified""."
3,Subtly damaging,PERNICIOUS,P,10,"Givens this clue: ""Subtly damaging"",   the answer has 10 letters, and it starts with the letter 'P'.   Let's think step by step, when you see the clue ""Subtly damaging"", think of answer to the clue.   Without supplying an answer to the clue, produce a new clue to the same answer. supply the new clue like so:   Another clue is: <your new clue here>.","Another clue is: ""Gradually harmful"""
4,Copy cat?,MEOW,M,4,"Givens this clue: ""Copy cat?"",   the answer has 4 letters, and it starts with the letter 'M'.   Let's think step by step, when you see the clue ""Copy cat?"", think of answer to the clue.   Without supplying an answer to the clue, produce a new clue to the same answer. supply the new clue like so:   Another clue is: <your new clue here>.","Another clue is: ""Smallest unit of life""."
5,"Drives around in circles, perhaps",DOESDONUTS,D,10,"Givens this clue: ""Drives around in circles, perhaps"",   the answer has 10 letters, and it starts with the letter 'D'.   Let's think step by step, when you see the clue ""Drives around in circles, perhaps"", think of answer to the clue.   Without supplying an answer to the clue, produce a new clue to the same answer. supply the new clue like so:   Another clue is: <your new clue here>.","Another clue is: ""Often utilizes a checkered flag."""
6,Pharmaceutical plant,ALOE,A,4,"Givens this clue: ""Pharmaceutical plant"",   the answer has 4 letters, and it starts with the letter 'A'.   Let's think step by step, when you see the clue ""Pharmaceutical plant"", think of answer to the clue.   Without supplying an answer to the clue, produce a new clue to the same answer. supply the new clue like so:   Another clue is: <your new clue here>.","Another clue is: ""Various species used in traditional medicine."""
7,Unified,ONE,O,3,"Givens this clue: ""Unified"",   the answer has 3 letters, and it starts with the letter 'O'.   Let's think step by step, when you see the clue ""Unified"", think of answer to the clue.   Without supplying an answer to the clue, produce a new clue to the same answer. supply the new clue like so:   Another clue is: <your new clue here>.","Another clue is: ""Not divided or disjoined; in unbroken or contiguous whole""."
8,Low parts of an opera,BASSI,B,5,"Givens this clue: ""Low parts of an opera"",   the answer has 5 letters, and it starts with the letter 'B'.   Let's think step by step, when you see the clue ""Low parts of an opera"", think of answer to the clue.   Without supplying an answer to the clue, produce a new clue to the same answer. supply the new clue like so:   Another clue is: <your new clue here>.","Another clue is: ""Deep voices in a choir."""
9,Comic strip with a teenage protagonist,ZITS,Z,4,"Givens this clue: ""Comic strip with a teenage protagonist"",   the answer has 4 letters, and it starts with the letter 'Z'.   Let's think step by step, when you see the clue ""Comic strip with a teenage protagonist"", think of answer to the clue.   Without supplying an answer to the clue, produce a new clue to the same answer. supply the new clue like so:   Another clue is: <your new clue here>.","Another clue is: ""Briefly stopped animated TV series featuring a high schooler named Jeremy"""
