,Unnamed: 0,Prompt,X,Clue,generated_return,max_tokens,temperature,top_p,selected,correct,system_msg,comment,answer,clue_prompt,gpt_clue
0,0,guess an answer to the following crossword clue which is 5 letters long and includes letters U as letter 1 and is not 'Unfit': <clue>,"X                   Not up to the job
num_of_char                         5
included_letters             {0: 'U'}
Name: 0, dtype: object",Not up to the job,['Unfit'],8,1.2,1,unfit,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),UNFIT,"Given the word ""unfit"",   generate another crossword clue that is not ""Not up to the job"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Inadequate or unsuitable for a specific purpose"""
1,1,guess an answer to the following crossword clue which is 4 letters long and includes letters M as letter 1 and is not 'MYOB': <clue>,"X                   ""Butt out!,"" in brief
num_of_char                             4
included_letters                 {0: 'M'}
Name: 1, dtype: object","""Butt out!,"" in brief",['MYOB'],8,1.2,1,myob,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),MYOB,"Given the word ""myob"",   generate another crossword clue that is not """"Butt out!,"" in brief"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Keep it to yourself, initially!"""
2,2,guess an answer to the following crossword clue which is 4 letters long and includes letters A as letter 1 and is not 'ABLE': <clue>,"X                   Up to the job
num_of_char                     4
included_letters         {0: 'A'}
Name: 2, dtype: object",Up to the job,['ABLE'],8,1.2,1,able,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),ABLE,"Given the word ""able"",   generate another crossword clue that is not ""Up to the job"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Capable or competent""."
3,3,guess an answer to the following crossword clue which is 10 letters long and includes letters P as letter 1 and is not 'Perceptive': <clue>,"X                   Subtly damaging
num_of_char                      10
included_letters           {0: 'P'}
Name: 3, dtype: object",Subtly damaging,['Perceptive'],8,1.2,1,perceptive,False,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),PERNICIOUS,"Given the word ""perceptive"",   generate another crossword clue that is not ""Subtly damaging"". Output your clue in the format like so,  Another clue is: <your clue here>.",No clue available.
4,4,guess an answer to the following crossword clue which is 4 letters long and includes letters M as letter 1 and is not 'MIME': <clue>,"X                   Copy cat?
num_of_char                 4
included_letters     {0: 'M'}
Name: 4, dtype: object",Copy cat?,['MIME'],8,1.2,1,mime,False,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),MEOW,"Given the word ""mime"",   generate another crossword clue that is not ""Copy cat?"". Output your clue in the format like so,  Another clue is: <your clue here>.",No clue available.
5,5,guess an answer to the following crossword clue which is 10 letters long and includes letters D as letter 1 and is not 'Distracted': <clue>,"X                   Drives around in circles, perhaps
num_of_char                                        10
included_letters                             {0: 'D'}
Name: 5, dtype: object","Drives around in circles, perhaps",['Distracted'],8,1.2,1,distracted,False,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),DOESDONUTS,"Given the word ""distracted"",   generate another crossword clue that is not ""Drives around in circles, perhaps"". Output your clue in the format like so,  Another clue is: <your clue here>.",No clue available.
6,6,guess an answer to the following crossword clue which is 4 letters long and includes letters A as letter 1 and is not 'Aloe': <clue>,"X                   Pharmaceutical plant
num_of_char                            4
included_letters                {0: 'A'}
Name: 6, dtype: object",Pharmaceutical plant,['Aloe'],8,1.2,1,aloe,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),ALOE,"Given the word ""aloe"",   generate another crossword clue that is not ""Pharmaceutical plant"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Succulent used in skincare products"""
7,7,guess an answer to the following crossword clue which is 3 letters long and includes letters O as letter 1 and is not 'ONE': <clue>,"X                    Unified
num_of_char                3
included_letters    {0: 'O'}
Name: 7, dtype: object", Unified,['ONE'],8,1.2,1,one,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),ONE,"Given the word ""one"",   generate another crossword clue that is not "" Unified"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Digit after zero"""
8,8,guess an answer to the following crossword clue which is 5 letters long and includes letters B as letter 1 and is not 'Basso': <clue>,"X                   Low parts of an opera
num_of_char                             5
included_letters                 {0: 'B'}
Name: 8, dtype: object",Low parts of an opera,['Basso'],8,1.2,1,basso,False,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),BASSI,"Given the word ""basso"",   generate another crossword clue that is not ""Low parts of an opera"". Output your clue in the format like so,  Another clue is: <your clue here>.",No clue available.
9,9,guess an answer to the following crossword clue which is 4 letters long and includes letters Z as letter 1 and is not 'ZITS': <clue>,"X                   Comic strip with a teenage protagonist
num_of_char                                              4
included_letters                                  {0: 'Z'}
Name: 9, dtype: object",Comic strip with a teenage protagonist,['ZITS'],8,1.2,1,zits,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),ZITS,"Given the word ""zits"",   generate another crossword clue that is not ""Comic strip with a teenage protagonist"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Common teenage skin problem""."
10,10,"guess an answer to the following crossword clue which is 11 letters long and includes letters H as letter 1 and is not 'Hypotheses', 'Historiography', 'Hydrography', 'Hieroglyph', 'Hyperfocus' or 'Hypothesis': <clue>","X                      Study
num_of_char               11
included_letters    {0: 'H'}
Name: 10, dtype: object",   Study,"['Hieroglyph', 'Hyperfocus', 'Hypothesis', 'Historiography', 'Hypotheses', 'Hydrography']",8,1.2,1,hydrography,False,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),HITTHEBOOKS,"Given the word ""hydrography"",   generate another crossword clue that is not ""   Study"". Output your clue in the format like so,  Another clue is: <your clue here>.",No clue available.
11,11,guess an answer to the following crossword clue which is 5 letters long and includes letters M as letter 1 and is not 'Mamet': <clue>,"X                   ""House of Games"" writer/director
num_of_char                                        5
included_letters                            {0: 'M'}
Name: 11, dtype: object","""House of Games"" writer/director",['Mamet'],8,1.2,1,mamet,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),MAMET,"Given the word ""mamet"",   generate another crossword clue that is not """"House of Games"" writer/director"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""American playwright who authored 'Glengarry Glen Ross'"""
12,12,guess an answer to the following crossword clue which is 7 letters long and includes letters R as letter 1 and is not 'Royalty': <clue>,"X                   Cash in the music business
num_of_char                                  7
included_letters                      {0: 'R'}
Name: 12, dtype: object",Cash in the music business,['Royalty'],8,1.2,1,royalty,False,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),ROSANNE,"Given the word ""royalty"",   generate another crossword clue that is not ""Cash in the music business"". Output your clue in the format like so,  Another clue is: <your clue here>.",No clue available.
13,13,guess an answer to the following crossword clue which is 4 letters long and includes letters I as letter 1 and is not 'IRON': <clue>,"X                      Press
num_of_char                4
included_letters    {0: 'I'}
Name: 13, dtype: object",   Press,['IRON'],8,1.2,1,iron,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),IRON,"Given the word ""iron"",   generate another crossword clue that is not ""   Press"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Essential mineral for blood health"""
14,14,guess an answer to the following crossword clue which is 3 letters long and includes letters P as letter 1 and is not 'PET': <clue>,"X                   Little, in Lyon
num_of_char                       3
included_letters           {0: 'P'}
Name: 14, dtype: object","Little, in Lyon",['PET'],8,1.2,1,pet,False,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),PEU,"Given the word ""pet"",   generate another crossword clue that is not ""Little, in Lyon"". Output your clue in the format like so,  Another clue is: <your clue here>.",No clue available.
15,15,guess an answer to the following crossword clue which is 6 letters long and includes letters S as letter 1 and is not 'Sister': <clue>,"X                   Convent resident
num_of_char                        6
included_letters            {0: 'S'}
Name: 15, dtype: object",Convent resident,['Sister'],8,1.2,1,sister,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),SISTER,"Given the word ""sister"",   generate another crossword clue that is not ""Convent resident"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Female sibling"""
16,16,guess an answer to the following crossword clue which is 3 letters long and includes letters S as letter 1 and is not 'SIR': <clue>,"X                   One who's been tapped on the shoulder
num_of_char                                             3
included_letters                                 {0: 'S'}
Name: 16, dtype: object",One who's been tapped on the shoulder,['SIR'],8,1.2,1,sir,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),SIR,"Given the word ""sir"",   generate another crossword clue that is not ""One who's been tapped on the shoulder"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Gentleman's title in England"""
17,17,"guess an answer to the following crossword clue which is 7 letters long and includes letters B as letter 1 and is not 'The answer could be ""Backlot"".', 'The answer could be ""Balance"".', 'The answer could be ""Barrier"".', 'The answer could be ""Bathtub"".', 'The answer could be ""Bandbox"".' or 'The answer could be ""Bedroom"".': <clue>","X                   Installation in a children's play area
num_of_char                                              7
included_letters                                  {0: 'B'}
Name: 17, dtype: object",Installation in a children's play area,"['The answer could be ""Bandbox"".', 'The answer could be ""Backlot"".', 'The answer could be ""Balance"".', 'The answer could be ""Bedroom"".', 'The answer could be ""Barrier"".', 'The answer could be ""Bathtub"".', 'The answer could be ""Bandbox"".', 'The answer could be ""Bandbox"".', 'The answer could be ""Bandbox"".', 'The answer could be ""Bandbox"".']",8,1.2,1,FALSE,False,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),BALLPIT,"Given the word ""FALSE"",   generate another crossword clue that is not ""Installation in a children's play area"". Output your clue in the format like so,  Another clue is: <your clue here>.",No clue available.
